Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
AUT,AUT,9.0,4.0,2.3624161073825505,14.25646884056327,7,0.0073260074,0.0073260074,0,0.007871946507696511,0,0.2857142857142857,6,0.15686095142252923
ZWE,ZWE,2.0,6.0,3.1476510067114094,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
LVA,LVA,8.0,4.0,2.9060402684563758,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
TON,TON,3.0,6.0,2.9395973154362416,0.0,3,0.0,0.0,0,0.0,0,0.0,0,0.0
BOL,BOL,44.0,4.0,2.140939597315436,297.0233274629802,18,0.013736264,0.013736264,4,0.014060889017420967,0,0.37362637362637363,34,0.2660633580214975
SOM,SOM,4.0,5.0,2.422818791946309,4.055555555555555,3,0.0,0.0,0,0.0,0,0.0,0,0.0
NER,NER,23.0,5.0,2.5167785234899327,32.6101331282461,8,0.0073260074,0.0073260074,1,0.007647778444388085,0,0.5238095238095238,11,0.15627560326699153
MYS,MYS,14.0,5.0,2.261744966442953,9.935494186762783,8,0.0073260074,0.0073260074,0,0.007665006760319412,0,0.7142857142857143,15,0.21803656666532778
RWA,RWA,11.0,6.0,3.3221476510067114,10.207450964068606,4,0.0,0.0,0,0.0,0,0.0,0,0.0
MMR,MMR,20.0,5.0,2.3288590604026846,41.927607735401864,8,0.0073260074,0.0073260074,0,0.007805294220176212,0,0.5714285714285714,12,0.18305421803779032
ETH,ETH,13.0,5.0,2.48993288590604,20.51694812722308,7,0.0064102565,0.0064102565,1,0.0069195757735070655,0,0.4,6,0.132614402826582
