Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
SWE,SWE,13,27.0,4.0,2.1012658227848102,41.680888687974054,0.0091743115,0.0091743115,2,0.008948072489963202,0,0.6363636363636364,42,0.28996341115267327
KAZ,KAZ,2,5.0,5.0,2.9746835443037973,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
TGO,TGO,1,1.0,5.0,3.449367088607595,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
HTI,HTI,6,8.0,4.0,2.3227848101265822,34.642159153765036,0.0042342977,0.0042342977,5,0.00466594742112542,0,0.8,8,0.12742783828936313
NLD,NLD,9,43.0,4.0,2.240506329113924,20.81347391785248,0.007057163,0.007057163,5,0.0075684410425880125,0,0.5555555555555556,20,0.18519801843005684
POL,POL,12,56.0,3.0,2.0822784810126582,25.370313427650768,0.008468595,0.008468595,3,0.008410979668455677,0,0.6909090909090909,38,0.2768218212120941
PRT,PRT,6,11.0,4.0,2.4240506329113924,1.5569444444444442,0.0049400143,0.0049400143,5,0.00530438121478356,0,0.6666666666666666,10,0.1394270909203529
AGO,AGO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
BIH,BIH,4,9.0,4.0,2.348101265822785,29.582443426373246,0.0,0.0,0,0.0,0,0.0,0,0.0
CAF,CAF,4,12.0,4.0,2.3354430379746836,2.8626373626373622,0.0,0.0,0,0.0,0,0.0,0,0.0
UGA,UGA,5,5.0,4.0,2.2848101265822787,9.189191955954442,0.0035285815,0.0035285815,1,0.004130978828031192,0,0.6666666666666666,4,0.11338218042218527
SLE,SLE,5,5.0,5.0,2.7721518987341773,13.043340003673915,0.0028228653,0.0028228653,1,0.004103847440788108,0,0.0,0,0.03619725748359669
NER,NER,6,10.0,4.0,2.518987341772152,25.72204409625462,0.0042342977,0.0042342977,1,0.004770159097244009,0,0.5,5,0.09900636374888247
OMN,OMN,4,6.0,4.0,2.3544303797468356,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
KWT,KWT,3,3.0,5.0,2.7531645569620253,5.883552206531746,0.0,0.0,0,0.0,0,0.0,0,0.0
EST,EST,4,6.0,4.0,2.4873417721518987,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
SRB,SRB,5,17.0,5.0,2.9177215189873418,160.59265873015872,0.0021171488,0.0021171488,4,0.0030327872351194928,0,0.0,0,0.030320805385126305
HRV,HRV,1,5.0,6.0,3.911392405063291,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
