Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
NLD,NLD,8,11.0,4.0,2.25,21.650930442106926,0.007901669,0.007901669,0,0.007397130106216946,0,0.35714285714285715,10,0.18758914456471515
LBN,LBN,8,20.0,4.0,2.272727272727273,5.443852680052034,0.007901669,0.007901669,2,0.007007249633147214,0,0.6428571428571429,18,0.21040297966535063
CAN,CAN,17,37.0,4.0,2.0984848484848486,73.58612996325002,0.015803337,0.015803337,0,0.014262436403908075,0,0.38235294117647056,52,0.40193593136181166
GIN,GIN,3,4.0,5.0,2.856060606060606,4.685353535353535,0.0035118526,0.0035118526,3,0.0037242725540558162,0,0.3333333333333333,1,0.04575893019188449
VEN,VEN,5,11.0,5.0,2.3333333333333335,136.10930042180044,0.005267779,0.005267779,0,0.006155960442657189,0,0.3,3,0.12399211528200847
PHL,PHL,8,17.0,4.0,2.3333333333333335,131.18089298042858,0.007901669,0.007901669,3,0.007978324240332107,0,0.42857142857142855,12,0.1818885939323463
MEX,MEX,5,19.0,5.0,2.4318181818181817,2.183333333333333,0.005267779,0.005267779,0,0.004994631499879657,0,0.4,4,0.1191157081030122
KOR,KOR,7,22.0,5.0,2.3181818181818183,9.03436832046672,0.007023705,0.007023705,1,0.006646856564736528,0,0.5238095238095238,11,0.17263667750628917
ARG,ARG,11,18.0,4.0,2.121212121212121,180.96366631734276,0.010535558,0.010535558,0,0.010913442467780704,0,0.36363636363636365,20,0.2597927886184609
NGA,NGA,17,29.0,5.0,2.128787878787879,161.43635589117866,0.015803337,0.015803337,0,0.014576002086401233,0,0.3161764705882353,43,0.35638129957102815
ITA,ITA,12,25.0,5.0,2.121212121212121,35.73134762942923,0.01141352,0.01141352,0,0.010398215279052624,0,0.5757575757575758,38,0.3315433474038523
POL,POL,7,12.0,5.0,2.272727272727273,8.163642321730556,0.007023705,0.007023705,0,0.006423101922421136,0,0.5238095238095238,11,0.20078507752246605
JAM,JAM,2,5.0,5.0,2.477272727272727,0.0,0.0026338894,0.0026338894,0,0.002585472073968596,0,1.0,1,0.081152986662495
BEL,BEL,16,29.0,5.0,2.106060606060606,263.07837617423,0.014925373,0.014925373,2,0.01438061702597758,0,0.26666666666666666,32,0.3180290278893434
RWA,RWA,7,13.0,5.0,2.727272727272727,42.76539948355738,0.007023705,0.007023705,6,0.007435414231510107,0,0.19047619047619047,4,0.08254909843319896
NZL,NZL,4,13.0,5.0,2.4242424242424243,1.9127154564225506,0.0043898155,0.0043898155,1,0.004151526167680172,0,0.6666666666666666,4,0.12412946885868187
NOR,NOR,3,4.0,5.0,2.9393939393939394,260.0,0.0035118526,0.0035118526,4,0.005008454314015044,0,0.3333333333333333,1,0.03319911534447033
HKG,HKG,3,8.0,4.0,2.696969696969697,0.6785714285714285,0.0035118526,0.0035118526,3,0.003573042142602445,0,0.6666666666666666,2,0.06142298239101423
COL,COL,3,6.0,6.0,2.992424242424242,1.2023809523809526,0.0035118526,0.0035118526,0,0.0038130629852298707,0,0.6666666666666666,2,0.0251871512551019
PRK,PRK,7,21.0,5.0,2.272727272727273,12.612301587301587,0.007023705,0.007023705,1,0.007017277928444313,0,0.5714285714285714,12,0.1863065733129482
SEN,SEN,5,10.0,6.0,2.8257575757575757,136.45228174603173,0.005267779,0.005267779,8,0.006311792942797458,0,0.2,2,0.056304529358861016
CHL,CHL,9,16.0,5.0,2.5454545454545454,151.59627665536829,0.008779631,0.008779631,8,0.010252118304253792,0,0.08333333333333333,3,0.08261889756101203
MYS,MYS,3,3.0,5.0,2.3636363636363638,0.0,0.0035118526,0.0035118526,1,0.003485986149316417,0,1.0,3,0.10819534073813532
LKA,LKA,4,8.0,5.0,2.2954545454545454,0.45299145299145294,0.0043898155,0.0043898155,0,0.004123959542056275,0,0.8333333333333334,5,0.15490564931362602
IRL,IRL,4,4.0,5.0,2.5303030303030303,0.4733815591013733,0.0043898155,0.0043898155,0,0.004031747767766207,0,0.6666666666666666,4,0.11005309009645904
JOR,JOR,7,18.0,4.0,2.340909090909091,2.474707602339181,0.007023705,0.007023705,4,0.006234616364623509,0,0.6666666666666666,14,0.18485757639965714
